OBSIDIAN MIRROR v2 — STEP CLASSIFICATION LOG
Method: Secondary-Balanced Scoring (sqrt-dampened)
====================================================================================================

BALANCE FACTORS (sqrt-dampened):
          Social: 1.0658
   Technological: 2.0205
        Economic: 1.4862
       Political: 0.6732

RAW PRIMARY DISTRIBUTION:
          Social:  55
   Technological:  12
        Economic:  27
       Political: 141

RAW SECONDARY DISTRIBUTION:
          Social:  88
   Technological:  69
        Economic:  84
       Political:  90

----------------------------------------------------------------------------------------------------
     Month         Primary  Secondary                                      Title
    August       Political  Social, Technological                          The Final Poll
 September       Political  Technological, Economic                        The Final Verdict
  December       Political  Social, Technological                          The Final, Sane Diagnosis
  November        Economic  Technological, Political, Social               The Final, Sane Prescription
      July       Political  Economic                                       The Financial Engine of the Fracture
    August       Political  Technological                                  The First Casualty of the Thaw
  February   Technological  Political, Economic                            The First Flash of the Perimeter
 September       Political  Social, Technological                          The First Reckoning
 September   Technological  Political                                      The First Shot: Charlie Kirk
  November          Social  Economic, Political                            The First Synthetic Religion
   January          Social  Political                                      The Foreclosure of the Mind
  November       Political  Social, Technological                          The Forging of the Enemy
  December        Economic  Political                                      The Forging of the Lithium Fortress
    August   Technological  Political, Social                              The Fragile Consensus
    August        Economic  Technological                                  The Fuel for the New Gods
  February   Technological  Economic                                       The Geometry of the Ghost
 September       Political  Economic, Technological                        The Ghost Empire and the Shadow Sovereigns
    August          Social  Political                                      The Ghost in the Data
   October       Political  Technological                                  The Ghost in the Machine-of-State
      July          Social  Technological                                  The Ghost in the Network
 September       Political  Social                                         The Ghost in the Nursery
  December   Technological  Political, Social                              The Ghost of Christmas Past Is the Only One Left
    August   Technological  Political, Economic                            The Ghost on the Steppe
   January          Social  Political, Technological                       The Goddess of the Machine
  December          Social  Political, Technological                       The Gospel of the Earth
  November   Technological  Political, Social                              The Gospel of the Malleable Past
  November        Economic  Technological, Political                       The Gospel of the Physical
  November          Social  Political                                      The Gospel of the Spectacle
  November   Technological  Political, Social                              The Gospel of the Upgradeable Body
   January          Social  Political, Technological                       The Great Firewall of the Soul
   October        Economic  Technological                                  The Great Guessing Game
 September          Social  Political, Technological                       The Grey Fog
  February       Political  Social                                         The Iconography of the Fall
    August   Technological  Social, Political                              The Illusion of the 'Correct' Scroll
     March          Social  Technological, Political                       The Invention of the Hapaborean
      July       Political  Economic, Technological                        The Irrelevant Ocean
 September        Economic  Political, Technological                       The King's New Treasure
   October       Political  Social                                         The Last Angel
      July       Political  Technological, Social, Economic                The Last Audit
  December        Economic  Political                                      The Last Audit of Empire
   January          Social  Political, Technological                       The Last Audit of the Normie Age
  November        Economic  Political                                      The Last Blueprint for a Ghost
  November        Economic  Political                                      The Last Contract of a Dying City
    August          Social  Political, Economic                            The Last Custodians of a Dead Language
  November       Political  Social, Economic, Technological                The Last Defender of a Dying God
  December          Social  Political, Technological                       The Last Generation of the Old World
  December          Social  Economic, Technological, Political             The Last Great Cure
    August        Economic  Political, Technological                       The Last Great Photo-Op of the Old World
  December          Social  Political                                      The Last Honest Question
  November       Political  Technological                                  The Last Indictment
      July       Political  Economic, Technological                        The Last Map of a Vanishing World
  December       Political  Economic, Social, Technological                The Last Prayer of a Dying Faith
   October       Political  Technological, Social                          The Last Professor
  December   Technological  Political                                      The Last Protest of the Human
 September       Political  Social                                         The Last Roar
  December        Economic  Political, Technological                       The Last Sane Man's Eulogy
 September       Political  Technological, Economic                        The Last Signature
   January          Social  Political, Technological, Economic             The Last Theologian
  December        Economic  Political                                      The Last War of the Nanosecond
  December        Economic  Political                                      The Last Will and Testament of a Unified America
      July   Technological  Economic, Political                            The Last Will and Testament of a Worldview
  February   Technological  Economic, Social                               The Leap from the Blind Watchmaker
    August       Political  Economic, Technological                        The Lightning Rod for the Storm
  February       Political  Technological                                  The Liturgy of the Exoskeleton
   January          Social  Political                                      The Manifesto of the Bottleneck
  December          Social  Political, Economic                            The Manifesto of the Plunder
   January       Political  Technological, Social                          The Manifesto of the Workshop
  February        Economic  Political, Technological                       The Manual of the Divorce
 September       Political  Economic, Technological                        The Map of the Earthquake
  December       Political  Economic, Social, Technological                The Math of the Hollow City
     March   Technological  Economic                                       The Mathematics of the Pause
   January       Political  Economic                                       The Measure of the Schism
  December          Social  Economic, Technological                        The Medicalization of Obsolescence
     March        Economic  Technological                                  The Memo from the Event Horizon
 September          Social  Political                                      The Midwife's Prophecy
  December       Political  Social, Economic                               The Midwives of a Harder Age
  February          Social  Technological, Political                       The Mirror of the Soul-Thief
      July          Social  Political, Technological                       The Misdiagnosis of the Soul
  December          Social  Political                                      The Missing Cohort
     March        Economic  Technological, Political                       The Monetization of the Fog
   October          Social  Technological, Political, Economic             The New Jerusalem
   October   Technological  Political, Economic                            The New Ministry of Truth
      July       Political  Social                                         The Obituary for the Neutral Square
  February       Political  Economic, Social, Technological                The Obituary of the Witness
      July   Technological  Social, Political                              The Oracle in the Machine
     March          Social  Technological, Political                       The Ouroboros of the Mind
  February        Economic  Social, Technological                          The Pacification of the Palate
    August        Economic  Technological                                  The Paper Mountain and the Avalanche It Caused
   January          Social  Political                                      The Paralysis of the Empty Nest
  December        Economic  Political                                      The Paralysis of the Gavel
   January          Social  Political                                      The Party at the End of the World
   January          Social  Economic, Political, Technological             The Patient Zero of the Cyborg Age
  February          Social  Political, Technological                       The Patient Zero of the Un-Person
   October          Social  Political, Economic, Technological             The Perfect Drug
    August          Social  Political                                      The Perfect Friend, The Perfect Poison
    August          Social  Political                                      The Perfect Parasite
 September          Social  Political                                      The Perfect Third Parent
  February       Political  Economic, Social                               The Permission Slip for the End
  February       Political  Economic, Technological, Social                The Philosophy of the Demolition
 September       Political  Technological, Social                          The Poisoner's Handbook
      July        Economic  Political                                      The Polite Plea Before the Fracture
  February        Economic  Social, Technological                          The Proletarianization of the Mind
     March   Technological  Political, Social                              The Promethean Pet
      July   Technological  Economic                                       The Prophecy and Its Crooked Path
   January        Economic  Political, Technological                       The Prophecy of the Grind
    August        Economic  Technological                                  The Prophet of the Boom
     March          Social  Technological, Political                       The Psychology of the Void
  February       Political  Social, Economic                               The Purge of the Paper Citizens
   January          Social  Political                                      The Quarantine of the Nursery
      July   Technological  Economic, Political, Social                    The Question at the Heart of the Collapse
   October        Economic  Political                                      The Quiet Revolution
   October          Social  Technological, Political                       The Quiet Revolutionaries
  February          Social  Political, Technological, Economic             The Reclamation of the Commons
  December       Political  Social                                         The Repeal of the Shadow Law
   January   Technological  Political, Social                              The Retrieval of the Gods
   October       Political  Social, Technological                          The Ritual of Humiliation
   January   Technological  Economic, Political                            The Sacrament of the Glitch
    August   Technological  Political, Social                              The Schism in the New Priesthood
     March       Political  Social, Economic                               The Schism of the Stroller
  February       Political  Social, Technological                          The Schism of the Superman
 September          Social  Technological, Political                       The Seed in the Nursery
  November   Technological  Social                                         The Seeds of the Second Genesis
      July          Social  Political, Technological                       The Shadow in the Machine
    August        Economic  Political                                      The Shadow Ledger
 September          Social  Political, Technological                       The Silent Epidemic
 September       Political  Technological, Economic                        The Siren Song of a Dead God
  December        Economic  Political, Social, Technological               The Stackless: The Hidden Geography of the Quiet
    August          Social  Political                                      The Sterile Plague
 September          Social  Political, Technological                       The Surrender
   January          Social  Political, Technological                       The Swipe at the Silent Page
   January          Social  Technological, Political                       The Sycophantic Plague
   January          Social  Political, Economic                            The Temple of the Faustian Wild
  November       Political  Economic                                       The Terminal Diagnosis
  December          Social  Political, Economic, Technological             The Terms of Surrender
  February   Technological  Social                                         The Tetrad of the Soul
   January        Economic  Technological                                  The Thermodynamic Prophecy
  February        Economic  Technological, Political                       The Tower of Babble
    August        Economic  Political, Technological                       The Two Cities: A Prophecy of the American Schism
      July   Technological  Political, Social                              The Unanswered Indictment
 September        Economic  Social, Political, Technological               The Unreadable World
   October       Political  Social                                         The Unseen Abdication
 September       Political  Technological, Social                          The Unspoken Compass
   October          Social  Economic, Political                            The Vote of No Confidence
   October        Economic  Political                                      The Vulture's Prophecy
   October       Political  Technological                                  The War of the Ghosts
      July       Political  Technological, Social                          The War That Dissolved the World
  February   Technological  Economic, Political                            The Wargame of the Gods
    August        Economic  Political, Social, Technological               The Winning Heresy
   October       Political  Social                                         The World Engine

====================================================================================================
FINAL PRIMARY DISTRIBUTION (Balanced):
          Social:  67 ( 28.5%)
   Technological:  48 ( 20.4%)
        Economic:  55 ( 23.4%)
       Political:  65 ( 27.7%)

SECONDARY APPEARANCES (Balanced):
          Social:  77
   Technological: 114
        Economic:  80
       Political: 135

  Total articles: 235
  All with images: 235
